day,round,player1_name,player2_name,winner,p1_rank_points,p1_age,p1_ht,p1_is_lefty,p1_experience,p1_career_win_rate,p1_surface_win_rate,p1_recent_form,p1_avg_ace_rate,p1_avg_df_rate,p1_avg_1st_serve_pct,p1_avg_1st_serve_win_pct,p2_rank_points,p2_age,p2_ht,p2_is_lefty,p2_experience,p2_career_win_rate,p2_surface_win_rate,p2_recent_form,p2_avg_ace_rate,p2_avg_df_rate,p2_avg_1st_serve_pct,p2_avg_1st_serve_win_pct,h2h_matches,h2h_win_rate,tourney_importance,surface_hard,surface_clay,surface_grass,both_right_handed,both_left_handed,mixed_handed,month,quarter,month_sin,month_cos,split
2,1,Arthur Cazaux,Adam Walton,1,678.0,22.1,183.0,0,4.120465434633813,0.3793103448275862,0.3333333333333333,0.35,0.1119174350039215,0.0342870435110134,0.595177646911009,0.7986905881713267,604.0,25.4,183.0,0,1.4757015742642026,0.2142857142857142,0.5,0.2142857142857142,0.0660944947352438,0.0218218096117963,0.6667745007613267,0.6960656667439491,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Quentin Halys,August Holmgren,2,615.0,27.2,191.0,0,10.121834360027378,0.3608247422680412,0.5454545454545454,0.55,0.1320150205443084,0.0424424641995106,0.5898035014230312,0.8396426994680576,189.0,25.7,188.0,0,8.229979466119097,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0584979563160906,0.0365275426550576,0.5937302785748042,0.7343778056488552,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Jesper de Jong,Christopher Eubanks,1,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,1220.0,27.7,201.0,0,9.927446954141,0.3980582524271844,0.6,0.4,0.1201950909499443,0.0352283326064213,0.6658730781362265,0.7875148995284749,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Aleksandar Kovacevic,Marton Fucsovics,2,607.0,26.1,183.0,0,2.759753593429158,0.3333333333333333,0.4,0.3,0.1415872773746286,0.0383410946407653,0.6166492628254123,0.789838467082999,702.0,31.9,188.0,0,15.321013004791238,0.4938650306748466,0.4705882352941176,0.5,0.0738828610513569,0.0296111251032583,0.6555334933598225,0.7433277434871046,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Jaime Faria,Lorenzo Sonego,2,376.0,21.0,188.0,0,1.2457221081451062,0.0,0.0,0.0,0.037997159090909,0.0181107954545454,0.6078835227272728,0.6662367104440274,1046.0,29.4,191.0,0,9.141683778234086,0.4798657718120805,0.5526315789473685,0.5,0.0657387815834809,0.0168246700510501,0.6726096596190768,0.7661407612596622,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Sebastian Ofner,Hamad Medjedovic,1,1091.0,27.7,191.0,0,7.991786447638604,0.4408602150537634,0.4666666666666667,0.45,0.0915001657388665,0.0306298004897662,0.6018344309031304,0.7701964325004471,378.0,21.3,188.0,0,4.101300479123887,0.5384615384615384,0.3333333333333333,0.6,0.1479426373556932,0.0408113193359039,0.652209707142578,0.789232782603736,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Marcos Giron,Camilo Ugo Carabelli,1,1105.0,31.2,180.0,0,10.869267624914444,0.4663677130044843,0.5161290322580645,0.55,0.1020886994729583,0.022064345566015,0.622043440780253,0.786259390157469,608.0,25.1,185.0,0,3.1047227926078027,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0172412645669678,0.0391057463195785,0.5807433684402622,0.5973263606337825,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,James McCabe,Fabian Marozsan,2,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,896.0,24.3,193.0,0,3.586584531143053,0.4722222222222222,0.1666666666666666,0.4,0.0486512369462639,0.0394978554250013,0.633188342955871,0.67723583936304,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Francisco Comesana,Corentin Moutet,2,532.0,23.8,178.0,0,1.3990417522245038,0.3636363636363636,0.6666666666666666,0.3636363636363636,0.050051585507864,0.0396905663498656,0.5933108675015092,0.6810133888535429,804.0,25.5,180.0,1,7.455167693360712,0.4166666666666667,0.4375,0.45,0.035094522712431,0.025058719490955,0.6732354353443358,0.6994972258755148,0,0.5,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Jaume Munar,Alexander Bublik,1,844.0,27.4,183.0,0,10.195756331279943,0.4017857142857143,0.2142857142857142,0.3,0.0382730308568561,0.052366746614427,0.6166937133261028,0.6085735082666807,1650.0,27.2,196.0,0,8.777549623545516,0.5033112582781457,0.6346153846153846,0.35,0.1276995498034595,0.0632135579232671,0.606215855558853,0.7336117907489682,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
